source,platform,task_title,description,url,country,language,currency,payment_type,reward,estimated_hours,required_skills,execution_probability,payment_probability,receipt_probability,competition_score,expected_roi,repeatability,requires_human_action,status,discovered_at,last_checked,discovery_score,promotion_score,promotion_status,promotion_reason
GitHub,GitHub,Feedback Wanted - help test the v3 Release Candidate!,https://github.com/Boeing/config-file-validator/issues/551,https://github.com/Boeing/config-file-validator/issues/551,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Add reusable Copy Code button component (copy-code-btn-hr18),https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49461,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49461,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,feat: add ease-robotics-dashboard submission,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49460,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49460,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,"[Bug]: Media error when selecting some playlist in ""Add Media"" menu",https://github.com/isyuricunha/yumusic-garmin-music-app/issues/21,https://github.com/isyuricunha/yumusic-garmin-music-app/issues/21,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,[help],https://github.com/codevoyager-ai-dev/codevoyager-ai-dev/issues/2,https://github.com/codevoyager-ai-dev/codevoyager-ai-dev/issues/2,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Add Next.js App Router import placement pitfalls guide (ease-nextjs-i…,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49459,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49459,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,[Good First Issue] 🗻 Add new Japan Fact 235 - Beginner-Friendly Open-source Contribution,https://github.com/lingdojo/kana-dojo/issues/24953,https://github.com/lingdojo/kana-dojo/issues/24953,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Icon and Bind test on macOS/Linux,https://github.com/FedericoSpada/Custom2kinter/issues/18,https://github.com/FedericoSpada/Custom2kinter/issues/18,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,feat: add ease-robot-arm-simulator submission,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49458,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49458,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,fix(theme): support custom spacing for 4.5 to size history avatars,https://github.com/Sanket-103-pvt/Git-Stats/pull/105,https://github.com/Sanket-103-pvt/Git-Stats/pull/105,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Improve discoverability of assigning and creating environments from the Connections table,https://github.com/meshery/meshery/issues/20761,https://github.com/meshery/meshery/issues/20761,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Implement PowerPoint support (OfficeAgent.PowerPoint),https://github.com/ilia-sokolov/OfficeAgent.NET/issues/6,https://github.com/ilia-sokolov/OfficeAgent.NET/issues/6,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Implement Excel format support (OfficeAgent.Excel),https://github.com/ilia-sokolov/OfficeAgent.NET/issues/5,https://github.com/ilia-sokolov/OfficeAgent.NET/issues/5,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Add a CLI regression test for WordPress post planning dispatch,https://github.com/yoldaolmak/Pictovap/issues/29,https://github.com/yoldaolmak/Pictovap/issues/29,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Add a WordPress Gutenberg planning example profile and walkthrough,https://github.com/yoldaolmak/Pictovap/issues/28,https://github.com/yoldaolmak/Pictovap/issues/28,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Return actionable WordPress read errors when a Gutenberg post cannot be fetched,https://github.com/yoldaolmak/Pictovap/issues/27,https://github.com/yoldaolmak/Pictovap/issues/27,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Define and test WordPress planning behaviour for posts without H2 headings,https://github.com/yoldaolmak/Pictovap/issues/26,https://github.com/yoldaolmak/Pictovap/issues/26,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Preserve inline-formatted Gutenberg heading text in placement targets,https://github.com/yoldaolmak/Pictovap/issues/25,https://github.com/yoldaolmak/Pictovap/issues/25,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Add a realistic Gutenberg blocks fixture for VisualBrief regression tests,https://github.com/yoldaolmak/Pictovap/issues/24,https://github.com/yoldaolmak/Pictovap/issues/24,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,feat: add CSS Staggered Entrance Tooltip for Neumorphic Soft Layouts …,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49457,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49457,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,feat: add 3d perspective tilt tooltip submission,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49456,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49456,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,[Good First Issue] 🪭 Add new Theme: Wasabi Punch - Beginner-Friendly Open-source Contribution,https://github.com/lingdojo/kana-dojo/issues/24952,https://github.com/lingdojo/kana-dojo/issues/24952,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
GitHub,GitHub,Support radio-group and dropdown signer field types,https://github.com/LiftedHoldings/lifted-sign/issues/23,https://github.com/LiftedHoldings/lifted-sign/issues/23,global,unknown,unknown,unknown,,,,,,,,,,true,discovered,2026-07-17T19:43:31.867143+00:00,2026-07-17T19:43:31.867143+00:00,,,,
